msisdn,risk_score,risk_tier,source,trigger_reason,source_file
PfxBLT7lMfTZJdOR9OQW/w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
iV1TweyvuTgzPo6WdxzHzQ==,1.0,BLACK,RULE,"R7_ShortBurst: 9s avg duration, 309 calls",fraud_model_1_1_pending
PI6ehNzAETYj6H2oBe4JHw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
XM510mfiYw9dWQlPbTIYsg==,1.0,BLACK,RULE,"R2_Wangiri: 218 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
lIRNZ9fGzZ/00Vj3/wAqVg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (11 calls),fraud_model_1_1_pending
fvAtLPs0KNnmxEAd21ezhQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (27 calls),fraud_model_1_1_pending
brLm3gdtAgJ6+v8HNnD7Xg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (8 calls),fraud_model_1_1_pending
YooeKeXSuwV3kaNSOP8UWQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (208 calls),fraud_model_1_1_pending
ht/xvlkFYgUxCojp3DXY2Q==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
HfXEGcOIlpv0up+9EKreiQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (48 calls),fraud_model_1_1_pending
hHS2cxNuHCbgk/BiwwYNqw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (71 calls),fraud_model_1_1_pending
S4b+X8jPxH6i/Tb9EDUsuA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (17 calls),fraud_model_1_1_pending
20ZbyLsalIAOqE12oGm5ZA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (16 calls),fraud_model_1_1_pending
a6uV1J3cnxThk8xY6X+Fuw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (368 calls),fraud_model_1_1_pending
CnEAD46ioca/jrDaH7SInw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (6 calls),fraud_model_1_1_pending
UHJfEHdD2dJeioPvJOt8lQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
f8Yhz6Z/L/PGYakDQyEBEw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
c7kJJILJ5wIGDvj4pH59rg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (54 calls),fraud_model_1_1_pending
7T97sfycgar8QRljaVxOAQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
k/gz0DRUcpOjtStcHRSi3w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (7 calls),fraud_model_1_1_pending
v/3UZ4SvcJP0OgmUhAPxHg==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (16 calls),fraud_model_1_1_pending
IyJKbc6Or8WLcL3JhLcJSw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (63 calls),fraud_model_1_1_pending
DvfHZ1hesRoSZsEq+Tz33g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (14 calls),fraud_model_1_1_pending
7i4Cc3aaMS44BfHqFdw+7w==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
WdV0ePC5Xk+6o2eKTD4b5Q==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
9Blm1TriHANy4hEuVtE29Q==,1.0,BLACK,RULE,"R7_ShortBurst: 13s avg duration, 274 calls",fraud_model_1_1_pending
Jxp8392NA4N3/MqXy/eKqw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
vudo6fJVOWmz56CUUFPY7g==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (17 calls),fraud_model_1_1_pending
Q2DgSrY3/1szv7BoPMlYYw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (12 calls),fraud_model_1_1_pending
jtCbVsFPxD/x4ps2n8iODQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (8 calls),fraud_model_1_1_pending
2pDoRS/asF8D1DoCpsPEXA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (98 calls),fraud_model_1_1_pending
voqtyi8GOdoNCMNN8ad3XQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
zoGxeAnaDrkaS/FK0OLqlg==,1.0,BLACK,RULE,"R7_ShortBurst: 10s avg duration, 250 calls",fraud_model_1_1_pending
Q2y4tHAub8yWnDXlS7z04A==,1.0,BLACK,RULE,"R7_ShortBurst: 14s avg duration, 43 calls",fraud_model_1_1_pending
8JmKMVTz5lIbnKM39UEtqw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (55 calls),fraud_model_1_1_pending
/Q4EMocAjm6kLqpCoOnFnQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (277 calls),fraud_model_1_1_pending
sZ7MekbJZKZMT2H52Rbq5A==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (60 calls),fraud_model_1_1_pending
jjo67NGHu0Aslyjhmecahg==,1.0,BLACK,RULE,"R2_Wangiri: 171 outgoing, 0 incoming (threshold: 121)",fraud_model_1_1_pending
r/Et9NhwGJ6gqlRb1UiWHw==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (13 calls),fraud_model_1_1_pending
3B6wOwCzG2VPisPBG03Aww==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (10 calls),fraud_model_1_1_pending
cMW2EOuWwFS+rmnKKwvENw==,1.0,BLACK,RULE,"R7_ShortBurst: 14s avg duration, 311 calls",fraud_model_1_1_pending
ppihfthsvhv4zeULf288CQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (29 calls),fraud_model_1_1_pending
iBx8jzXRV0ZFZRNLC0+epA==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (15 calls),fraud_model_1_1_pending
hrPVyV6zaml8/ml9hX+caQ==,1.0,BLACK,RULE,R4_StudentHunter: High student call volume (9 calls),fraud_model_1_1_pending
