msisdn,iden_type_first,post_or_ppd_first,ntwk_type_first,open_dt_first,source_list_first,call_cnt_day_mean,called_cnt_day_mean,call_cnt_day_2s_mean,call_cnt_day_3m_mean,dispersion_rate_mean,roam_unknow_call_cnt_sum,local_unknow_call_cnt_sum,change_imei_times_max,opp_num_stu_cnt_max,stat_dt_min,stat_dt_max,stat_dt_count,is_passport,is_prepaid,total_calls,outbound_ratio,is_silent_receiver,short_call_ratio,roaming_ratio,is_sms_heavy,active_days,archetype,cluster
+6SQ3h+2lqZl/1lkyxu22g==,往來港澳通行證,预付,5G,20250330.0,fraud_model_2,9.0,0.0,0.0,0.0,0.0,0,0,0,0,20250810,20250810,24,0,1,9.0,0.9,1,0.0,0.0,0,24,Wangiri Caller,5
+USN6OzdHn1B7BiW+AUC9A==,香港身份證,预付,4G,20250413.0,fraud_model_2,53.0,0.0,0.0,0.0,0.0,0,0,0,0,20250822,20250822,18,0,1,53.0,0.9814814814814815,1,0.0,0.0,0,18,Wangiri Caller,4
+Yx0ULQ6+O99XWsbwEp4lw==,護照,预付,4G,20240801.0,fraud_model_2,11.0,0.0,0.0,0.0,0.0,0,0,0,0,20251003,20251003,4,1,1,11.0,0.9166666666666666,1,0.0,0.0,0,4,Wangiri Caller,5
+gBfDMUPY0CFeD0IyorwLA==,護照,预付,4G,20240801.0,fraud_model_2,69.0,0.0,0.0,0.0,0.0,0,0,0,0,20251027,20251027,8,1,1,69.0,0.9857142857142858,1,0.0,0.0,0,8,Wangiri Caller,4
+o2azSsc8bNat0561lXL/A==,0,预付,4G,20250514.0,blacklist,12.0,0.0,0.0,0.0,0.0,0,0,0,0,20250921,20250921,8,0,1,12.0,0.9230769230769231,1,0.0,0.0,0,8,Wangiri Caller,5
+w2K14eNI/5WWmRMRc5sWQ==,香港身份證,预付,5G,20250902.0,fraud_model_2,50.0,0.0,0.0,0.0,0.0,0,0,0,0,20251005,20251005,6,0,1,50.0,0.9803921568627451,1,0.0,0.0,0,6,Wangiri Caller,4
+yino+fnGpq2r8W4fVgPwQ==,Hong Kong ID,后付,5G,20250907.0,blacklist,210.0,0.0,0.0,0.0,0.0,0,0,0,0,20251006,20251006,1,0,0,210.0,0.995260663507109,1,0.0,0.0,0,1,Wangiri Caller,0
//X2/tiRBQy1hqgjYZrKCA==,香港身份證,预付,4G,20250502.0,fraud_model_2,16.0,0.0,0.0,0.0,0.0,0,0,0,0,20250908,20250908,16,0,1,16.0,0.9411764705882353,1,0.0,0.0,0,16,Wangiri Caller,1
/8kZ8aCtuqFd5/U+BFcyhg==,香港身份證,预付,4G,20250505.0,fraud_model_2,30.0,0.0,0.0,0.0,0.0,0,0,0,0,20250903,20250903,24,0,1,30.0,0.967741935483871,1,0.0,0.0,0,24,Wangiri Caller,1
/AwzMmTMehiC/YtF943JdA==,香港身份證,预付,4G,20250502.0,fraud_model_2,82.0,0.0,0.0,0.0,0.0,0,0,0,0,20250827,20250827,48,0,1,82.0,0.9879518072289156,1,0.0,0.0,0,48,Wangiri Caller,0
